2025-02-24T22:06:41.399 +0000 [ 349526017][   47376] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-30064803.651584886,-15374047.32183318,30064803.651584886,15374047.32183318&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:06:41.912 +0000 [ 349526530][   47376] INFO  - threddsServlet - Request Completed - 200 - -1 - 513
2025-02-24T22:06:42.133 +0000 [ 349526751][   47377] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?layers=sst&styles=scalar-converge-final%2Fx-Sst&transparent=True&format=image%2Fpng&srs=EPSG%3A3857&version=1.1.1&colorscalerange=0,32&bbox=-17016726.622911558,-14178288.085690599,43112880.680258214,16569806.557975762&width=1760&height=900&request=GetMap&service=WMS HTTP/1.0"
2025-02-24T22:06:43.491 +0000 [ 349528109][   47377] INFO  - threddsServlet - Request Completed - 200 - -1 - 1358
2025-02-24T22:06:44.683 +0000 [ 349529301][   47378] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:06:44.683 +0000 [ 349529301][   47378] INFO  - threddsServlet - Request Completed - 302 - -1 - 0
2025-02-24T22:06:54.738 +0000 [ 349539356][   47379] INFO  - threddsServlet - Remote host: 127.0.0.1 - Request: "GET /thredds/catalog.html HTTP/1.1"
2025-02-24T22:06:54.739 +0000 [ 349539357][   47379] INFO  - threddsServlet - Request Completed - 302 - -1 - 1
2025-02-24T22:07:02.601 +0000 [ 349547219][   47380] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=-20037508.342789244,0,-15028131.257091936,5009377.085697314 HTTP/1.0"
2025-02-24T22:07:02.604 +0000 [ 349547222][   47381] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=-20037508.342789244,-5009377.085697311,-15028131.257091936,0 HTTP/1.0"
2025-02-24T22:07:02.611 +0000 [ 349547229][   47382] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=15028131.257091936,0,20037508.342789244,5009377.085697314 HTTP/1.0"
2025-02-24T22:07:02.611 +0000 [ 349547229][   47383] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=-15028131.257091936,0,-10018754.171394622,5009377.085697314 HTTP/1.0"
2025-02-24T22:07:02.611 +0000 [ 349547229][   47384] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=15028131.257091936,-5009377.085697311,20037508.342789244,0 HTTP/1.0"
2025-02-24T22:07:02.615 +0000 [ 349547233][   47385] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=-15028131.257091936,-5009377.085697311,-10018754.171394622,0 HTTP/1.0"
2025-02-24T22:07:02.628 +0000 [ 349547246][   47386] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=-20037508.342789244,5009377.085697314,-15028131.257091936,10018754.171394628 HTTP/1.0"
2025-02-24T22:07:02.629 +0000 [ 349547247][   47387] INFO  - threddsServlet - Remote host: 172.25.0.1 - Request: "GET /thredds/wms/POP/model/regional/bom/forecast/monthly/accesss/seasonal_sst/latest.nc?service=WMS&request=GetMap&layers=sst&styles=scalar-converge-final%2Fx-Sst&format=image%2Fpng&transparent=true&version=1.1.1&colorscalerange=0%2C%2032&numcolorbands=250&time=2025-06-16T00%3A00%3A00Z&logscale=false&width=256&height=256&srs=EPSG%3A3857&bbox=-20037508.342789244,-10018754.171394622,-15028131.257091936,-5009377.085697311 HTTP/1.0"
